translated_text,class
"NYHINGTON (Watangazaji wa Usalama wa Kitaifa) - viongozi wa Jamhuri ya Marekani katika Nyumba ya Wawakilishi wanafanya kazi ili kusaidia kwa muda kuimarisha Shirika la Usalama wa Kitaifa la zoezi la Usalama wa Mtandaoni kwa kuliweka katika hatua mpya ya kutoa misaada, wabunge walisema.",1
"Seneta Bernie Sanders ndiye serena maarufu zaidi nchini Marekani na uchunguzi mpya wathibitisha hilo. Katika kura ya maoni ya hivi majuzi ya umma, yeye alipata kwamba, kati ya watunga sheria wote wanaotumikia katika Bunge la Marekani, Seneta wa Vermont ana kibali cha juu zaidi miongoni mwa viongozi wake. Katika uchaguzi huo, asilimia 75 ya wapiga kura wa Sanders walikuwa wamekubaliana na uamuzi wake.",0
YEHINGTON (Watangazaji wa Sheria) - Kamati ya Seneti ya Marekani ilifanya mabadiliko ya mwisho kwenye muswada wao wa kodi ili kupitisha sheria za umma siku ya Jumamosi na kuendelea kufanya mapatano juma hili kwa kiwango cha mwisho na Wabunge katika Nyumba ya Wawakilishi.,1
"Picha kwa hisani ya Roy Moore inakata tamaa ya kupaka rangi madai haya yote ya kuwatenda watoto vibaya kama kampeni ya kuchorea ambayo vyombo vya habari vinachapa kwa ajili ya kusudi pekee la kumkamata yeye. Tovuti yake ya roymoore.org hata ina namna ambayo watu wanaweza kujaza kama vyombo vya habari vimekutana nao, na kueleza namna ya huduma ya Twita imekutana na watu wengine.",0
"Akiwa ameshikilia sana maoni yake, kwa kuwa yeye ni mkali kuliko wengine wote, na kwa maoni yake, yeye ni mdahani wa miaka mitano, na kwa ujumla yeye ni mdahalo wa muda mrefu, lakini yeye hawezi kuwa na wasiwasi juu ya matukio yote ya wakati wa majira ya joto.",0
"Wanapokuwa wameshuka moyo, Mheshimiwa Michelle Obama aliuambia umati kwenye Mkutano wa Kidemokrasia wa 2016 ujumbe ambao mume wake anaonekana kuwa anapiga kwa moyo. Siku ya Ijumaa, afisa wa jeshi alijitokeza kwa Rais wa sfomy, lakini Obama aliwataka wazee wajiue kifo au kumpiga, na kwa hakika yeye hakutukana umati. Badala yake, alituliza umati. Alisikia!",0
"Kila mahali, vyombo vya habari vinaonekana kama vinaruka juu ya ufunuo mpya wa Hillary Clinton smae barua pepe bila kusoma kwa usahihi yale yaliyoandikwa na Mkurugenzi wa FBI James Comey. Wakati Donald Trump, pamoja na kila tawi kuu la vyombo vikuu vya habari, anasema kuwa FBI inafungua upya uchunguzi, kwamba sipaswi kumaliza uchunguzi wake.",0
"Siku chache zilizopita, timu ya michezo ya BCenter ilitengeneza vichwa vikuu vya habari kwa sababu ya maneno yake makali lakini ya kweli kuhusu Donald Trump na wafuasi wake wakubwa. Katika twiti kadhaa zilizowekwa siku ya Jumatatu, Hilled Trump sruder, akimwita bila upendeleo na asiyefaa kwa ajili ya Ikulu ya White House. Yeye alitwiti: Donald Trump ni mtu mweupe ambaye kwa sehemu kubwa amejizingira mwenyewe na wengine weupe watetezi. Trump ndiye maarufu zaidi katika maisha yangu.",0
"Kama hii itakuwa ni mbinu ya Jamhuri nchini kote, watu wa Marekani watateseka sana.",0
"MYHINGTON (Watangazaji) - pendekezo la kodi la Bunge la Marekani liitwalo Republicans manufaa ya serikali litajumuisha kuondolewa kabisa kwa kodi za serikali kwa mapato, mali, na mauzo, Seneta Bill Cassidy aliwaambia waandishi wa habari siku ya Alhamisi.",1
"Ni kana kwamba Mkurugenzi wa Shirika la Upelelezi la Marekani James Comey alikuwa mpumbavu, Trump ameenda na kusukuma misumari miwili zaidi ndani ya jeneza lake jioni hii.",0
"Kwa hakika Rais Obama alifunga safari ya kwenda Milan, Italia wiki hii na kutoa baadhi ya kweli kali kwa ajili ya Marekani kupiga kura, akitueleza kwa nini tunastahili Donald Trump na Paul Ryan na yote yanayompindua Robin Hood kazi ya wizi kutoka kwa kila mtu ili kuwapa matajiri.",0
ASEMPPHINGTON (Routers) - Rais Donald Trump alisema siku ya Ijumaa yeye hakukumbuka mengi kuhusu mkutano uliopita pamoja na kampeni ya zamani ambayo ilisihi mwezi uliopita kama sehemu ya tafiti za serikali katika madai ya Urusi katika uchaguzi wa mwaka 2016.,1
"Katika kipindi cha miaka 20 iliyopita, wakati huo, wakati huo, Paul Schols alikuwa akitoa maoni yake kwa ajili ya watu wasio na hatia.",0
"Dela Davis alisema kwamba suala la misuguano ya kijamii katika Marekani hivi sasa kwamba Donald Trump amechaguliwa kwa kweli huchemka kufikia swali moja la msingi, ambalo linahusiana zaidi na ni nani sisi kama taifa kuliko Trump ni kama mtu.",0
"WAKATI wa ziara yake rasmi huko Asia, ofisa wa U.S. alisema siku ya Jumanne, safari ya kurudi kutoka nje ya Korea Kaskazini, Washington na washirika wake walisema kwamba kulikuwa na ongezeko la watu wenye mamlaka huko China Kusini na Korea Kusini.",1
"Mara tu baada ya Donald Trump kushinda uchaguzi, Wamarekani waliona ongezeko la dhuluma na chuki mikononi mwa waungaji mkono. Kwa bahati mbaya, watu hao wenye msimamo mkali walionesha hasira yao kuwa si sawa na makosa ya baada ya uchaguzi.",0
"Bila shaka, Kellyanne Conway anasita kusema juu ya jambo hili. BENN huenda amegeuza marufuku yake kwa Kellyanne Conway, lakini kama Miika Brzeinski ameshashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashashasha, yeye hawezi tena kudhani kuwa yeye ni mlaghai wa Marekani.",0
"NEW YORK (Wasimamizi) - Kikundi cha wanasayansi walio na makao yao huko Marekani ambao uchunguzi wao kuhusu wanyama wa Aktiki uliwaomba wapiga - mbizi wawili wa Marekani katika barua siku ya Alhamisi wasifungue hifadhi ya Kitaifa ya Wanyama wa Porini ili kupata mafuta na gesi, kulingana na nakala iliyoonwa na Reuters.",1
"Maandamano ya My Black Lives Dedesh yamekuwa mashtaka yenye kufaa kwa wengi kwenye haki, wanaolinganisha ongezeko la harakati za haki za kijamii ambazo zinajaribu kuongeza ufahamu juu ya tatizo la polisi kuelekea watu weusi.",0
"Donald Trump atamtupia mama yake hasira mara tu anapojifunza kuhusu jambo hili. Ikiwa wewe ni mgonjwa na umechoka kwa Trump na unahitaji njia ya kuondoa mfadhaiko wako, basi utafurahi kujua kwamba Mexico imekuwa na tatizo kubwa, na si faida tu, basi utaacha kuwasaidia watu kwa siku hiyo.",0
"(Routers) - Kikundi cha maseneta 38 wa Marekani waliiomba Shirika la Ulinzi wa Mazingira la Marekani siku ya Alhamisi kuacha mipango ya kupunguza mafuta kwa wasafishaji wa mafuta katika 2018, kulingana na barua iliyotolewa na Ofisi ya Seneta wa Kidemokrasia Amy Klobuchar ya Minnesota. Maseneta hao, ikiwa ni pamoja na Republican Guck Grassley ya Iowa, walisema katika barua kwamba EPA ya kuratibu upya toleo lake la 2018 ya utawala ambao kila mwaka unahitaji ufanyizaji wa mafuta kama mafuta yaliyokwisha kutumika katika mfumo wa Eolthan.",1
"White House servor Kellyanne Conway aliruka kutoka kwenye dondoo lake baada ya majuma mawili ya kukaa mafichoni ili kushambulia Hillary Clinton ambaye si rais kabisa. Yeye ni maarufu Donald Trump alikuwa ameapa siku 216 zilizopita (inaonekana zaidi, huh?) na usimamizi wake bado unaongea juu ya ushindani wake wa zamani.",0
"Donald Trump amekuwa aking'olewa kama kitu chochote ambacho tumepata kuona katika siasa. Tangu juu ya Jamhurian walijitenga naye kwa sababu ya maoni yake machafu kuhusu kuwanyang'anya wanawake kazi zao, Trump hawezi kudhibiti mifoko yake.",0
"Collin Powell ni raia wa Republican, lakini alimpigia kura rais wetu mpendwa Obama mara mbili, na sasa ana hasira ya juu tena kwa chama chake kwa kukataa kupiga kura ya mwaka 2016 nomine ambayo ni Donald Trump.",0
"Ripoti mpya yenye kusumbua inaonyesha kwamba wafanyakazi wa Wizara ya Kilimo ya Marekani (USDA) wameagizwa rasmi kuanza kuchuja habari kuhusu takwimu za hali ya hewa. Kwa hakika, wao hata hawapasi kutumia maneno ya badiliko la hali ya hewa. Kulingana na barua pepe kutoka kwenye Idara ya Kuhifadhi Mazingira ya Asili (NRCS).",0
"Mara baada ya kutolewa kwa video ya video inayomwonyesha Trump si tu kutumia lugha ya dharau kuhusu wanawake, lakini pia ninadai kuwa mwindaji wa ngono, tunaanza tena kuona kampeni ya Trump katika sehemu ndogo ya mkia.",0
"Donald Trump kwa kweli alishinda, licha ya kura maarufu. Ni vigumu sana kuamini, na hakuna aliyetarajia hilo.",0
"ASUBUHI ya majaribio ya kijeshi ya China dhidi ya serikali ya Korea Kaskazini, The Southalings, na Shirika la Polisi la Marekani la Marekani la Marekani lajaribu kupunguza matumizi ya fedha kwa ajili ya serikali ya Korea Kaskazini.",1
"Hata hivyo, wataalamu wa magonjwa ya akili katika Chuo Kikuu cha Yale wanaonya kwa ajili ya Bunge la Marekani na taifa kubwa: Trump ni mgonjwa wa akili na ni hatari sana.",0
"Mwanamume mmoja Mbaguzi wa rangi Georgia alienda mbali na kifungo cha ndani kabisa wakati alipokuwa akikabiliwa na shughuli za kijeshi katika safari yake ya kwenda nyumbani, akiwatisha wafanyakazi wa serikali wakati alipokuwa akitamka maneno ya ubaguzi wa rangi. Nelson King alisema kwamba asubuhi walikuwa wakifanya kazi kwenye sehemu ya barabara katika Jimbo la Coneta, Harold Askofu alikuwa njiani kwenda zake wakati alipokuwa akitoa ushahidi wa barabara ambayo ilikuwa imefungwa kwa ajili ya ujenzi.",0
"Wakati wa majadiliano ya mimba, Kristoneins of Life ilikiri kwamba yeye hutaka wanawake wapate mimba mara moja.",0
"MEKUGUGATON (Watangazaji) - Rais Donald Trump siku ya Jumapili alipiga makofi vikwazo vipya vya usafiri dhidi ya raia kutoka Korea Kaskazini, Venezuela na Chad, ukipanuka kufikia nchi nane ambazo zilikuwa zimepigwa marufuku awali na wapinzani na kupingwa katika mahakama.",1
"Mtu yeyote ambaye amekuwa katika shule ya msingi anajua kabisa kwamba Andrew Jackson alikufa kabla ya vita fulani ya umwagaji damu ambayo watu wa kusini walipambana na wananchi wao (washtakiwa kama ungefikiri Confrederacy kuwa sawa na waungaji mkono wa Trump) na kwa nini yeye mwenyewe alikuwa na haki ya kuwamiliki wanadamu wengine, lakini Donald Trump alikuwa na ukweli wa mambo ya badala juu ya ssuckler Jackson.",0
"Katika kipindi cha miaka 65 iliyopita, Rais Donald Trump alikuwa na msimamo mkali kuhusu kile ambacho tayari kimeonekana kuwa ni hatua yake kuu kwa madai ya kwamba ule ukuta mrefu wa kilometa 2,000 awali ulinuia kujenga kando ya mpaka wa Mexico, lakini sasa anashikilia kuwa ni vigumu sana kuuvuka mpaka wa Marekani kwa sababu ya mipaka ya asili ambayo tayari imekuwepo.",0
DOHINGTON (Watangazaji) wa Facebook Inc (FB.O) Ofisa Mkuu wa upasuaji Sheryl Sandberg alisema siku ya Alhamisi kampuni hiyo ilikuwa na nia ya kusaidia polisi wa Marekani kutoa hadharani matangazo ya kisiasa yaliyoendelea katika uchaguzi wa mwaka 2016.,1
"Donald Trump ametangaza kwamba binti yake Ivanka (unajua, mmoja ambaye anataka kuweka miadi ya kijinsia) atakuwa na daraka jingine ndani ya udhuru wake wenye msiba. Kupitia Twita, Trump alitangaza kwamba binti yake mkubwa zaidi ataongoza wajumbe wa Marekani kwa kosa hili.",0
"Donald Trump, kwa bahati mbaya. Yeye alipendekeza kujenga ukuta ili kuzuia uvamizi wa wabakaji wenye ngozi ya hudhurungi na walanguzi wa dawa za kulevya kutoka kwa wenye madaraka nchini humo, kama vile katika hatua ya tahadhari ya kitaifa kwa Waislamu kama Hitler alivyofanya na Wayahudi, akilazimisha Waislamu kuvaa beji za kipekee, na hata kuwaweka katika kambi za mateso ya siku hizi kama hatua ya muda tu.",0
"MOSCOW (Routers) - The Kremlin ilisema siku ya Jumanne ilitumaini kwamba Rais Donald Trumps balozi mpya wa Urusi, Jon Huntsman, angeweza kusaidia kupumua maisha mapya katika mahusiano yaliyopigwa ya Marekani na Urusi. Msemaji wa Kremlin Dmitry Peskov alitoa maelezo kwa waandishi wa habari katika wito mbele ya Huntsman akitoa utambulisho wake wa kidiplomasia kwa Rais Vladimir Putin baadaye siku ya Jumanne."" Tunatumaini kwamba, kwa upande wa balozi mpya, U.S. Urusi itaweza kuchangia uharibifu mkubwa kwa hatua za kurekebisha mahusiano na chama cha Gadeo la Washington, mnamo mwaka 2016, na kamati ya kijeshi ya kijeshi ya kijeshi iitwayo Pernators.",1
"Bill Clinton hatimaye alisema kuhusu Donald Trump, na Trump hatapenda kile alichokisema. Rais wa zamani amekuwa kimya tangu Siku ya Uchaguzi, lakini mwandishi wa habari aligongana na duka la vitabu na kupata wasaa wa maisha kama Clinton alivyojadili maswali kutoka kwa baadhi ya wateja wake.",0
